terremoto	scossa	bn:00029448n	bn:00029441n
patrimonio	azione	bn:00009815n	bn:00074332n
ebreo	Gerusalemme	bn:00043492n	bn:00015555n
nuvolosità	previsione	bn:00020002n	bn:00035804n
dizionario	enciclopedia	bn:00026967n	bn:00024746n
zecca	museo	bn:00077170n	bn:00056426n
sedia	sgabello	bn:00017515n	bn:00074427n
spagnolo	umidità	bn:00073092n	bn:00045190n
lattina	bottiglia	bn:14620027n	bn:00012339n
mosca	formica	bn:13319918n	bn:00004458n
mito	satira	bn:00056669n	bn:00016859n
centro della città	autobus	bn:00017178n	bn:00007329n
coda	Boeing 747-200	bn:00075904n	bn:03226093n
opera d'arte	artista	bn:00081581n	bn:00006182n
NATO	alleanza	bn:00056978n	bn:00002740n
re	sovrano	bn:00024097n	bn:22099537n
ritmo	cadenza	bn:00009396n	bn:00014520n
Alexander Fleming	penicillina	bn:00002616n	bn:00061363n
flauto	musica	bn:00035477n	bn:00021408n
airone cenerino	lago	bn:16449236n	bn:00049709n
viscosità	spruzzo	bn:00080092n	bn:00073618n
hardware	case	bn:00021480n	bn:00262368n
anello	fidanzamento	bn:00008287n	bn:00010152n
latino	tedesco	bn:00050161n	bn:00040293n
classe operaia	fabbrica	bn:00049570n	bn:00032675n
Shakespeare	Dickens	bn:00008556n	bn:00017842n
banconota	prete	bn:00008375n	bn:00024459n
strumento	lavoro	bn:00077585n	bn:00030616n
cinghiale nano	suidi	bn:03100066n	bn:00033468n
suffragio	uscita	bn:00067845n	bn:00032163n
stella	luminosità	bn:00073964n	bn:00013123n
trota	chitarra	bn:00078435n	bn:00042150n
dollaro	milionario	bn:00079129n	bn:00055058n
cifra	numero	bn:00025702n	bn:00058285n
burrasca	coperta	bn:00074458n	bn:00011119n
Obama	Clinton	bn:03330021n	bn:00010400n
personaggio secondario	film	bn:00206836n	bn:00034472n
Juventus	Bayern Monaco	bn:00876765n	bn:00963795n
Cambiamento climatico	precipitazione	bn:00019782n	bn:00028483n
IA	batteria	bn:00002150n	bn:00009064n
capolavoro	Gioconda	bn:00018059n	bn:03571983n
crimine	aggressione	bn:00023807n	bn:00006465n
incoronazione	acqua	bn:00022800n	bn:00042379n
vocalista	pentagramma	bn:15167394n	bn:00073805n
spareggio	pallacanestro	bn:00062962n	bn:00008889n
forze armate	difesa	bn:00005732n	bn:00025878n
lago	nuvola	bn:00049709n	bn:00020002n
monastero	doccia	bn:13460974n	bn:00071324n
lingua madre	lingua	bn:00034782n	bn:00049910n
porto	incarto	bn:00063640n	bn:00060120n